,_tid_,elderly,adults,adolescents,children,female,male,healthy_volunteers,eudract_number,protocol_country_code
1670,1670,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2010-021067-32,pl
1671,1671,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2015-002397-21,gb
1672,1672,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-002558-11,lv
1673,1673,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2005-002611-25,at
1674,1674,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000575-27,be
1675,1675,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-004483-30,be
1676,1676,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-004133-33,pt
1677,1677,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2016-002057-38,fr
1678,1678,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2005-005819-26,gr
1679,1679,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2007-005439-27,de
1680,1680,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-004133-33,pl
1681,1681,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2006-006693-24,de
1682,1682,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2011-003072-37,de
1683,1683,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2014-001700-21,at
1684,1684,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-002957-42,at
1685,1685,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-004938-25,es
1686,1686,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-003796-32,hu
1687,1687,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-005217-24,hr
1688,1688,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-001467-39,es
1689,1689,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-003436-20,es
1690,1690,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-004294-14,gb
1691,1691,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-001367-36,nl
1692,1692,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-005438-24,gb
1693,1693,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-004096-38,lv
1694,1694,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-001240-35,pl
1695,1695,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003789-15,gb
1696,1696,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2012-002940-26,hu
1697,1697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2011-004618-40,hu
1698,1698,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-001973-42,bg
1699,1699,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-022970-14,be
1700,1700,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-002971-91,es
1701,1701,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2014-001759-22,cz
1702,1702,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2009-013766-78,nl
1703,1703,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-001451-21,gb
1704,1704,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2014-000464-17,no
1705,1705,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-004994-94,pl
1706,1706,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2010-023498-20,de
1707,1707,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2014-001931-36,pt
1708,1708,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-001097-15,bg
1709,1709,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-002074-35,be
1710,1710,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-021414-32,cz
1711,1711,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2011-000212-25,gb
1712,1712,1.0,1.0,_nan_,_nan_,1.0,0.0,0.0,2011-005932-24,es
1713,1713,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-004876-23,pl
1714,1714,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2006-004863-69,nl
1715,1715,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2014-002539-32,no
1716,1716,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-005161-23,be
1717,1717,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-005260-15,es
1718,1718,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2006-000880-27,be
1719,1719,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-002629-13,nl
1720,1720,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-020745-27,fr
1721,1721,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-003289-29,pl
1722,1722,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-000685-39,gr
1723,1723,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-022228-66,se
1724,1724,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-002933-23,be
1725,1725,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-001097-18,be
1726,1726,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2004-004202-24,fi
1727,1727,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2011-002047-10,gb
1728,1728,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2008-000701-11,fi
1729,1729,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-011078-14,gb
1730,1730,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-004740-11,de
1731,1731,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-009320-36,nl
1732,1732,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-007025-51,de
1733,1733,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-014846-26,be
1734,1734,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-001397-33,it
1735,1735,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-011776-30,de
1736,1736,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-020338-25,pt
1737,1737,0.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2006-003366-33,es
1738,1738,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2017-002404-28,es
1739,1739,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-000873-35,at
1740,1740,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-004486-33,be
1741,1741,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2006-002830-38,cz
1742,1742,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-002025-11,at
1743,1743,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2010-024613-31,de
1744,1744,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2011-004542-18,dk
1745,1745,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-005736-29,gb
1746,1746,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2008-008275-34,gb
1747,1747,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-000669-19,gb
1748,1748,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2010-022449-38,fi
1749,1749,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-000106-38,nl
