"feature","chi2_score_milk","p_values_milk","sample_count_milk","correlation_to_milk"
"thiamin",15.397492330265484,0.00045339530949158605,21,0.12077302637314732
"lupinen",15.397492330265484,0.00045339530949158605,21,0.06336730887845363
"bourbon",15.009705595892397,0.0005504068654015946,28,0.08490096005587673
"weiß",14.67507002801124,0.0006506523948752128,59,0.046957710136899915
"geroosterde",14.181761593526327,0.0008326636350858112,3,0.03683183927880526
"säureregulator",14.181761593526327,0.0008326636350858112,3,0.2564382193396521
"kaliumcarbonat",14.181761593526327,0.0008326636350858112,3,0.06336730887845365
"monokaliumtartrat",14.181761593526327,0.0008326636350858112,3,0.06336730887845364
"39",13.998310537379965,0.0009126525862397462,13,0.06336730887845364
"eine",13.998310537379965,0.0009126525862397462,59,0.06336730887845365
"ist",13.998310537379965,0.0009126525862397462,27,0.14153088019997956
"17",13.593667087960402,0.0011173074573663977,13,0.1476798524029735
"rapsöl",13.22671423461596,0.0013423182569648547,15,0.07765789051362841
"ruwe",13.186239669997404,0.0013697598657243467,9,0.1476798524029735
"cacaomassa",13.179787337820727,0.0013741860745556769,3,0.07765789051362845
"ungehärtetes",13.179787337820727,0.0013741860745556769,3,0.06336730887845363
"glucosestroop",13.179787337820727,0.0013741860745556769,3,0.14654235044350272
"42",13.179787337820727,0.0013741860745556769,3,0.14767985240297343
"de",13.023057470124645,0.0014862059703428018,287,0.0473583718478671
"812",12.713001867413672,0.001735428479706162,16,0.1588353837570534
