"feature","chi2_score_soy","p_values_soy","sample_count_soy","correlation_to_soy"
"enthalten",81.97601936324664,1.5817344407571114e-18,38,0.09142045382872106
"gefriergetrocknet",80.9793334574565,2.6035214829827965e-18,6,0.09142045382872106
"weizenstärke",79.7073170731706,4.9178583317399734e-18,8,0.33936376777918786
"weiße",78.87804878048766,7.44473658204463e-18,16,0.5201929489620227
"zartbitterschokolade",78.87804878048766,7.44473658204463e-18,6,0.2768495556428321
"glukosesirup",78.47272388754398,9.117263735996835e-18,15,0.09837082586069504
"48",75.91707317073164,3.2720280633852576e-17,5,0.09142045382872105
"calcareum",75.33333333333331,4.3810127285774565e-17,2,0.14885546697463295
"sojamehl",75.33333333333331,4.3810127285774565e-17,2,0.15155058483034803
"leinsamen",75.33333333333331,4.3810127285774565e-17,2,0.28271800964838784
"goldleinsamen",75.33333333333331,4.3810127285774565e-17,2,0.22623803799545747
"sojaschrot",75.33333333333331,4.3810127285774565e-17,2,0.1583829772947639
"schafskäse",75.33333333333331,4.3810127285774565e-17,2,0.6233835306296172
"hirschhornsalz",75.33333333333331,4.3810127285774565e-17,2,0.2934091030958924
"geröstet",73.21951219512185,1.2606221769815532e-16,6,0.11193243880325829
"weizenmehl",72.16366397610972,2.1372703978524683e-16,18,0.09142045382872106
"spuren",66.57039265450874,3.5028610157709357e-15,38,0.1293998382205707
"marzipan",65.73170731707303,5.3277165746477834e-15,7,0.12939983822057066
"kaffee",65.48549618320605,6.025667751184645e-15,8,0.09142045382872106
"melk",63.49864084900345,1.6272164854139087e-14,66,0.12939983822057058
"von",61.6663005026993,4.0675508052467925e-14,40,0.2877599873199103
"nüssen",60.980187999178675,5.732187968897371e-14,13,0.16703102776790274
"allergenen",60.52063931139335,7.212904015072397e-14,98,0.09142045382872106
"backtriebmittel",59.07136364134162,1.4887314600632084e-13,17,0.09142045382872106
"type",58.77212379874807,1.7290019068242186e-13,13,0.09142045382872106
"orangenschalen",56.21197169986952,6.219069882462789e-13,5,0.09142045382872106
"e500ii",56.21197169986952,6.219069882462789e-13,6,0.12273823213865356
"joghurtschokolade",52.58536585365844,3.812702247683901e-12,4,0.09142045382872106
"arabicum",52.58536585365844,3.812702247683901e-12,4,0.12939983822057058
"gummi",52.58536585365844,3.812702247683901e-12,4,0.09142045382872108
"52",52.58536585365844,3.812702247683901e-12,4,0.3530460287755787
"¹dinkel",52.58536585365844,3.812702247683901e-12,4,0.09142045382872106
"magermilchjoghurtpulver",52.58536585365844,3.812702247683901e-12,4,0.09142045382872106
"weinsäure",52.58536585365844,3.812702247683901e-12,2,0.09142045382872106
"hühnereieiweißpulver",52.58536585365844,3.812702247683901e-12,2,0.09142045382872102
"kann",52.37443885889209,4.236772118397326e-12,38,0.0914204538287211
"ei",51.43040668138408,6.792491257502121e-12,183,0.09837082586069505
"hartweizengrieß",51.43040668138408,6.792491257502121e-12,7,0.12939983822057058
"apfelfaser",51.396747967479584,6.907771845682854e-12,5,0.3069257202524652
"sporen",50.90411469000136,8.837144206806746e-12,88,0.4650552178018943
"natron",50.263344673696395,1.2174563048451047e-11,9,0.276849555642832
"haselnüsse",49.20396130896955,2.067738232178442e-11,14,0.07745313034318749
"milchpulver",48.924512298558064,2.3778099468650646e-11,28,0.18331643747914192
"74",45.24427480916027,1.4973749255669345e-10,7,0.09837082586069502
"natriumhydrogencarbonat",42.8228533707959,5.024993922755462e-10,11,0.12939983822057083
"eine",40.48966672872825,1.6135431456836814e-09,46,0.09142045382872102
"ist",40.48966672872825,1.6135431456836814e-09,17,0.28271800964838784
"vollei",39.43902439024383,2.728504458864716e-09,3,0.2896515707666863
"zuckerglasur",39.43902439024383,2.728504458864716e-09,3,0.13733708184717514
"backoblaten",39.43902439024383,2.728504458864716e-09,3,0.12440138343929784
"puderzucker",39.43902439024383,2.728504458864716e-09,3,0.27684955564283215
"zuckerrübensirup",39.43902439024383,2.728504458864716e-09,3,0.09837082586069504
"schwach",39.43902439024383,2.728504458864716e-09,3,0.2495159357755998
"gepofte",39.43902439024383,2.728504458864716e-09,2,0.12939983822057066
"dinkelmehl",39.38624092347777,2.8014730698263174e-09,14,0.12939983822057058
"eieren",38.53597716129812,4.285671530315457e-09,20,0.0914204538287211
"weichweizenmehl",37.66666666666666,6.618921912651235e-09,1,0.3393637677791878
"pecorino",37.66666666666666,6.618921912651235e-09,1,0.19550857122349166
"milchflocken",37.66666666666666,6.618921912651235e-09,1,0.1583829772947639
"weizenglucosesirup",37.66666666666666,6.618921912651235e-09,1,0.18331643747914192
"biologischem",37.66666666666666,6.618921912651235e-09,1,0.2518813252143192
"kakaopulver",37.40493597302368,7.544341789442488e-09,15,0.3393637677791878
"lithothamnium",35.77353689567427,1.7055920538427453e-08,4,0.4951087269862937
"26",34.094147582697154,3.9495709493820044e-08,9,0.5499129394611916
"ungehärtet",32.461490721777345,8.934635767255435e-08,9,0.19505902411055828
"überzugsmittel",32.461490721777345,8.934635767255435e-08,6,0.09837082586069505
