"feature","chi2_score_peanut","p_values_peanut","sample_count_peanut","correlation_to_peanut"
"roggevlokken",14.608695652173838,0.0006726080258952642,2,0.23248994695635733
"haselnusskerne",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"bourbonvanileschote",14.608695652173838,0.0006726080258952642,2,0.07827199740846101
"kekse",14.608695652173838,0.0006726080258952642,2,0.16950230054917959
"magermilchpul",14.608695652173838,0.0006726080258952642,17,0.09589915141336572
"stammt",14.608695652173838,0.0006726080258952642,2,0.17137667759984238
"se",14.608695652173838,0.0006726080258952642,775,0.1509165524928154
"limettenpulver",14.608695652173838,0.0006726080258952642,2,0.17137667759984238
"schùtzen",14.608695652173838,0.0006726080258952642,2,-0.07497952175938105
"biscuits",14.608695652173838,0.0006726080258952642,2,0.09039251798034381
"wijnsteen",14.608695652173838,0.0006726080258952642,3,0.07827199740846104
"sam",14.608695652173838,0.0006726080258952642,365,0.07827199740846096
"initiative",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"schalen",14.608695652173838,0.0006726080258952642,17,0.07827199740846104
"jahr",14.608695652173838,0.0006726080258952642,4,0.07827199740846096
"gâteaux",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"sesamöl",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"roggenflocken",14.608695652173838,0.0006726080258952642,2,0.24297283069392894
"agricultu",14.608695652173838,0.0006726080258952642,70,0.07827199740846098
"lin",14.608695652173838,0.0006726080258952642,51,0.07827199740846104
"anbauland",14.608695652173838,0.0006726080258952642,2,0.15739835987425155
"les",14.608695652173838,0.0006726080258952642,83,0.0782719974084611
"chaleur",14.608695652173838,0.0006726080258952642,2,0.10451706755134102
"zuivere",14.608695652173838,0.0006726080258952642,2,0.11001644189587334
"reinwein",14.608695652173838,0.0006726080258952642,12,0.1713766775998425
"apfelfruchtfüllung",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"vor",14.608695652173838,0.0006726080258952642,2,0.5743711240383617
"languette",14.608695652173838,0.0006726080258952642,2,0.07827199740846101
"landwirsdat",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"starke",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"rijstvlokken",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"roggemeel",14.608695652173838,0.0006726080258952642,1,0.07827199740846111
"mable",14.608695652173838,0.0006726080258952642,2,0.1107763299147585
"macada",14.608695652173838,0.0006726080258952642,23,0.0782719974084611
"walnusskerne",14.608695652173838,0.0006726080258952642,2,0.09589915141336569
"ttocken",14.608695652173838,0.0006726080258952642,2,0.07827199740846101
"wàrme",14.608695652173838,0.0006726080258952642,2,0.05532594269663172
"gebäck",14.608695652173838,0.0006726080258952642,2,0.07827199740846105
"säuerungsmit",14.608695652173838,0.0006726080258952642,16,0.14435153713975107
"monokaliumtartraat",14.608695652173838,0.0006726080258952642,2,0.07827199740846105
"e336",14.608695652173838,0.0006726080258952642,4,0.0782719974084611
"füreiinder",14.608695652173838,0.0006726080258952642,2,0.07827199740846096
"pompoenpitten",14.608695652173838,0.0006726080258952642,2,0.07827199740846102
"söureregulator",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"œufs",14.608695652173838,0.0006726080258952642,2,0.0746484530397214
"nachhaltigem",14.608695652173838,0.0006726080258952642,2,0.1657285996637542
