"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"goldleinsamen",20.235294117647054,4.036098090744923e-05,2,0.15834119874136637
"trocken",20.235294117647054,4.036098090744923e-05,5,0.17036136732862947
"wholemeal",20.235294117647054,4.036098090744923e-05,2,0.09948278344942839
"dinkelvoll",20.235294117647054,4.036098090744923e-05,33,0.12699415997411864
"geroosterd",20.235294117647054,4.036098090744923e-05,6,0.13917914565462242
"malt",20.235294117647054,4.036098090744923e-05,18,0.1583411987413664
"fibres",20.235294117647054,4.036098090744923e-05,2,0.15834119874136632
"fettarmes",20.235294117647054,4.036098090744923e-05,2,0.14467869967575966
"ae",20.235294117647054,4.036098090744923e-05,2,0.7215608666309649
"chia",20.235294117647054,4.036098090744923e-05,2,0.07027031421482657
"çontenir",20.235294117647054,4.036098090744923e-05,2,0.1583411987413664
"same",20.235294117647054,4.036098090744923e-05,22,0.35017133918290955
"palm",20.235294117647054,4.036098090744923e-05,44,0.11430575647809652
"fruits",20.235294117647054,4.036098090744923e-05,2,0.0702703142148265
"aceroia",20.235294117647054,4.036098090744923e-05,2,0.11190481661984683
"egruge",20.235294117647054,4.036098090744923e-05,2,0.11190481661984683
"weizenkleber",20.235294117647054,4.036098090744923e-05,2,0.1580566104721176
"fruchtpulver",20.235294117647054,4.036098090744923e-05,2,0.17305016284737904
"maniok",20.235294117647054,4.036098090744923e-05,2,0.09435760248201967
"sesame",20.235294117647054,4.036098090744923e-05,2,0.07027031421482645
"baking",20.235294117647054,4.036098090744923e-05,2,0.16089660165806827
"melkchocolade",20.235294117647054,4.036098090744923e-05,2,0.1318136374877705
"sec",20.235294117647054,4.036098090744923e-05,2,0.22081520308844726
"sojamehl",20.235294117647054,4.036098090744923e-05,2,0.0702703142148265
"sauerteig",20.235294117647054,4.036098090744923e-05,5,0.07027031421482656
"betteraves",20.235294117647054,4.036098090744923e-05,2,0.11190481661984687
"kühl",20.235294117647054,4.036098090744923e-05,6,0.07027031421482645
"sucrières",20.235294117647054,4.036098090744923e-05,2,0.12197071595642636
"gruau",20.235294117647054,4.036098090744923e-05,2,0.3551150901243636
"lin",20.235294117647054,4.036098090744923e-05,26,0.15834119874136632
"beete",20.235294117647054,4.036098090744923e-05,2,0.2734171472557996
"lagern",20.235294117647054,4.036098090744923e-05,2,0.22416611283896398
"spelt",20.235294117647054,4.036098090744923e-05,23,0.1583411987413664
