"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"krenten",17.06756756756756,0.00019670925471381372,1,0.07698642351077331
"rosmarinauszug",17.06756756756756,0.00019670925471381372,1,0.11708378801125602
"zitronensäure",17.06756756756756,0.00019670925471381372,1,0.19341836340643365
"volle",17.06756756756756,0.00019670925471381372,13,0.117083788011256
"fenchelsamen",17.06756756756756,0.00019670925471381372,1,0.07698642351077331
"weichtier",17.06756756756756,0.00019670925471381372,1,0.20460859596584338
"hühnerei",17.06756756756756,0.00019670925471381372,7,0.07698642351077334
"weißkohl",17.06756756756756,0.00019670925471381372,1,0.14993060415698625
"romanobohnen",17.06756756756756,0.00019670925471381372,1,0.06736613398307809
"gerstenmalzsirup",17.06756756756756,0.00019670925471381372,1,0.1656434848664184
"korianderzaden",17.06756756756756,0.00019670925471381372,1,0.07698642351077334
"natriumcarbonaat",17.06756756756756,0.00019670925471381372,1,0.07698642351077332
"kokosvet",17.06756756756756,0.00019670925471381372,1,0.11708378801125599
"venkelzaden",17.06756756756756,0.00019670925471381372,1,0.11708378801125602
"krebstier",17.06756756756756,0.00019670925471381372,1,0.07698642351077331
"mungobohnenkeime",17.06756756756756,0.00019670925471381372,1,0.10895689048641613
"koriandersamen",17.06756756756756,0.00019670925471381372,1,0.11253392828110716
"e500",17.06756756756756,0.00019670925471381372,12,0.07698642351077334
"licht",17.06756756756756,0.00019670925471381372,1,0.2912157724849927
"503ii",17.06756756756756,0.00019670925471381372,1,0.1656434848664184
"zonnebloem",17.06756756756756,0.00019670925471381372,43,0.14322928086484302
"sporen",17.065881263146466,0.00019687518049727663,374,0.07698642351077335
"butterreinfett",16.86743968514491,0.00021741124872020996,11,0.1242634941444018
"palmöl",16.152826875859606,0.0003107836839072247,17,0.07698642351077331
"kräuter",15.960829544356878,0.0003420975005588895,26,0.12907986017197723
"gewürze",15.884270728135165,0.00035544665932640883,93,0.10504186436236453
"38",15.77331136829893,0.0003757240159755039,8,0.043248818128820934
"weiß",15.77331136829893,0.0003757240159755039,70,0.05441724494838599
"maïszetmeel",15.77331136829893,0.0003757240159755039,8,0.04622014708372804
"vanillestokjes",15.77331136829893,0.0003757240159755039,8,0.16564348486641844
"16",15.73929700203707,0.0003821686704924757,22,0.10895689048641614
"39",15.516084845765828,0.0004272922199767569,16,0.16564348486641842
"lecithine",15.170702881098885,0.0005078362826638008,7,0.234430932329946
"chia",15.170702881098885,0.0005078362826638008,4,0.054417244948385984
"roh",15.170702881098885,0.0005078362826638008,225,0.3320339537020194
"sauce",15.170702881098885,0.0005078362826638008,25,0.08719960906020903
"coriandre",15.170702881098885,0.0005078362826638008,4,0.234430932329946
"oil",15.170702881098885,0.0005078362826638008,4,0.05441724494838599
"poireau",15.170702881098885,0.0005078362826638008,4,0.07716239495632071
"43",15.170702881098885,0.0005078362826638008,4,0.06996521326308346
"herbes",15.170702881098885,0.0005078362826638008,4,0.1656434848664184
"gousse",15.170702881098885,0.0005078362826638008,4,0.20294703293370978
"bananenflocken",15.170702881098885,0.0005078362826638008,4,0.1305317185402296
"blanc",15.170702881098885,0.0005078362826638008,6,0.2520071406435792
"livèche",15.170702881098885,0.0005078362826638008,4,0.2918179712799134
"agavesiroop",15.170702881098885,0.0005078362826638008,4,0.16564348486641842
"weizenart",14.903623410830637,0.0005803891649263283,28,0.0432488181288209
"seigle",14.528186602443947,0.0007002358849243705,8,0.05441724494838599
"galettes",14.418818352423422,0.000739593996128772,6,0.07698642351077334
"di",14.418818352423422,0.000739593996128772,264,0.07698642351077334
"basilic",14.418818352423422,0.000739593996128772,6,0.07698642351077332
"lupin",14.418818352423422,0.000739593996128772,116,0.07698642351077334
"rohrohzucker",14.418818352423422,0.000739593996128772,4,0.12722195573766074
"hartweizen",14.418818352423422,0.000739593996128772,16,0.054417244948385984
"dur",14.418818352423422,0.000739593996128772,8,0.054417244948386
"spuren",14.363433541286767,0.0007603613549497538,210,0.11708378801125602
"sojasauce",13.956753783486358,0.0009318144121114744,19,0.20294703293370978
"verdickungsmittel",13.829460564912203,0.0009930492654048131,70,0.13053171854022966
"noten",13.640840344225317,0.0010912623079483866,277,0.16564348486641842
"pistazie",13.634977524901737,0.0010944659381035397,18,0.07698642351077334
"bietensuiker",13.480108821692918,0.001182582809533325,9,0.10854273348179005
"68",13.480108821692918,0.001182582809533325,9,0.16564348486641842
"von",13.252959186922668,0.0013248187869523594,215,0.09285865247971818
"19",13.146713777100908,0.001397099623841184,22,0.13670065587342836
"allergenen",13.103202025609407,0.001427827796811204,422,0.07672889913391637
"entölt",12.853666566974569,0.001617565102614997,25,0.33173691085770496
"melkpoeder",12.710850629312919,0.0017372961439070299,14,0.16564348486641842
