"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"reisgrieß",23.183673469387568,9.241219184006484e-06,4,0.05067800754641104
"alkohol",22.858072849392812,1.087508217499815e-05,5,0.028335413104296703
"en",22.715791352455618,1.1676927446854397e-05,1179,0.08454467838691543
"œuf",22.662187731370025,1.1994121950010085e-05,12,0.10743875655624939
"ruwe",22.5763955272084,1.2519817568504416e-05,26,0.18190239423889398
"maissirup",22.41967191940046,1.354035652345379e-05,9,0.0874586729689379
"76",22.39833747198827,1.3685567658422555e-05,5,0.08365002487113861
"zuckerrübensirup",22.386075949366997,1.3769728328018707e-05,3,0.09874945327722869
"macadamianüsse",22.386075949366997,1.3769728328018707e-05,3,-0.09030814606987446
"mandelkrokant",22.386075949366997,1.3769728328018707e-05,3,0.10302066534966225
"zuckerglasur",22.386075949366997,1.3769728328018707e-05,3,0.06681212358850408
"instant",22.386075949366997,1.3769728328018707e-05,3,0.08365002487113847
"puderzucker",22.386075949366997,1.3769728328018707e-05,3,0.12669819269379962
"walnussöl",22.386075949366997,1.3769728328018707e-05,3,0.18967780638231907
"braun",22.386075949366997,1.3769728328018707e-05,3,0.08365002487113854
"gehackt",22.386075949366997,1.3769728328018707e-05,2,0.08365002487113851
"backoblaten",22.386075949366997,1.3769728328018707e-05,3,0.1676772769398989
"gerstenmalz",21.733397617419968,1.9083264547354275e-05,45,0.08365002487113848
"rietsuiker",21.729854210777198,1.911710439877252e-05,30,0.08365002487113848
"11",21.660740647487458,1.9789277175654946e-05,33,0.08365002487113848
"wasser",21.656545114195154,1.9830834034321836e-05,211,0.08365002487113855
"au",21.592559505783672,2.0475535946963668e-05,671,0.0836500248711385
"type",21.370222477194417,2.2883115389412886e-05,55,0.08365002487113848
"eieren",21.22291292508707,2.4632189292684965e-05,62,0.14668876606723857
"butterreinfett",20.9888330476032,2.7690628486503113e-05,11,0.08365002487113854
"chocolat",20.831376237733636,2.99587800670729e-05,16,0.1882712998102991
"32",20.717614421024496,3.171225970028605e-05,15,0.08365002487113837
"pâte",20.68370653330643,3.225449106291287e-05,24,0.37953489964926335
"geroosterde",20.464697566551575,3.598714440027943e-05,10,0.18761011428627264
"hirschhornsalz",20.285714285714118,3.935619576131194e-05,7,0.05275571972972291
"sojaflocken",20.285714285714118,3.935619576131194e-05,5,0.1730250920636971
"roggenmehl",20.285714285714118,3.935619576131194e-05,5,0.11408311696097125
"kokosraspeln",20.285714285714118,3.935619576131194e-05,7,0.08365002487113847
"pfeffer",20.23384060975751,4.0390324070876957e-05,80,0.0836500248711385
"noisette",20.07181606819922,4.379862936536927e-05,18,0.10248833128643221
"ist",19.83385538617733,4.933248874302355e-05,61,0.1507347281679526
"eine",19.83385538617733,4.933248874302355e-05,86,0.04339940603872342
"melkpoeder",19.694564940626833,5.289073002312241e-05,14,0.08365002487113847
"13",19.44800738400222,5.982997957172151e-05,34,0.04455323490200788
"johannisbrotkernmehl",19.384271091999903,6.176735643995452e-05,45,-0.09622676717600301
"sec",19.164040299664048,6.895750243655792e-05,10,0.08365002487113851
"acidifiants",19.164040299664048,6.895750243655792e-05,4,-0.03920097054698842
"magere",19.164040299664048,6.895750243655792e-05,6,0.06549897133737545
"citrique",19.164040299664048,6.895750243655792e-05,4,0.09726799159579964
"clous",19.164040299664048,6.895750243655792e-05,4,0.28864901770943413
"cajou",19.164040299664048,6.895750243655792e-05,6,0.27893858961217977
"agents",19.164040299664048,6.895750243655792e-05,4,0.20325365271043178
"paprika",19.130149998950184,7.013595400502955e-05,79,0.2324131103644297
"bourbonvanilleextrakt",19.116448959815106,7.061807122157862e-05,10,0.08365002487113858
"cacaoboter",19.084858557316426,7.174235362727379e-05,15,0.034649941200853275
"säuerungsmittel",19.044235925938715,7.321443456183761e-05,14,0.08365002487113851
"68",18.896518894639016,7.882664787068982e-05,9,-0.1131848603825933
"dinkelvollkornmehl",18.683331705887802,8.769323031611808e-05,33,0.0445532349020079
"kokosraspel",18.60251050938192,9.130954277956578e-05,18,0.10185306608076579
"dinkel",18.525532761708362,9.489245304490357e-05,100,0.0527557197297229
"gewürze",18.391156014794486,0.00010148718664549336,93,0.10596061974020876
"35",18.38978252456155,0.00010155690641242087,18,0.08365002487113851
"verdickungsmittel",18.389522042785497,0.00010157013413547374,70,-0.07396297595340201
"kakao",18.33174890209229,0.00010454693474803176,98,0.138565168947088
"e500ii",18.091496849015435,0.00011789119625387986,11,0.08365002487113848
"99",18.086773930610587,0.0001181699204725688,35,0.06312638088639846
"agent",17.63158904164891,0.00014837102126050375,6,0.06600249707505594
"walnüsse",17.63158904164891,0.00014837102126050375,6,0.17706681614046454
"weinbeeren",17.38775510204067,0.00016760885268075448,3,0.08365002487113851
"quinoa",17.38775510204067,0.00016760885268075448,6,0.12706502996849206
"magermilchjoghurtpulver",17.38775510204067,0.00016760885268075448,6,0.1792923503213906
"bourbonvanilleschote",17.3551534984714,0.00017036340104537655,16,0.10248833128643227
"weinsäure",17.35343395947878,0.00017050993728555083,5,0.1130104113876061
"zimt",17.338176344838324,0.00017181569911318373,27,0.04882395428258083
"entier",17.315656695070082,0.00017376124650374413,22,0.08365002487113851
"écrémé",17.22409078857731,0.00018190146942170056,16,0.1539032270139214
"speltmeel",17.160704526192728,0.00018775882525040377,22,0.08365002487113854
"knoblauch",17.148015806039094,0.0001889538215805927,86,0.06894671234164147
"blé",16.93078957462666,0.00021063268153784188,22,0.06312638088639848
"coque",16.71996900025819,0.00023404796145423172,8,0.08365002487113854
"fortement",16.71996900025819,0.00023404796145423172,6,0.21738642566826508
"dégraissé",16.71996900025819,0.00023404796145423172,6,0.10248833128643228
"ceylan",16.71996900025819,0.00023404796145423172,6,0.4310290607802917
"cacaomassa",16.717224915697816,0.00023436930555137137,14,0.08365002487113848
"ei",16.695606569954858,0.00023691638500225834,472,0.03027299614942886
"petersilie",16.180622009569845,0.0003064944210774202,27,0.13241116272499434
"orangenöl",16.0140467579436,0.0003331148012252299,4,0.2339857356809402
"geschält",16.0140467579436,0.0003331148012252299,6,0.09772059203086175
"zitronengras",15.58133971291911,0.00041357575477987744,29,0.08365002487113851
"88",15.510686212283769,0.00042844717511303886,12,0.10482732800406293
"sahne",15.439377536187923,0.0004439987689842177,10,0.08365002487113839
"aus",15.416062950274945,0.0004492048783216501,502,0.08365002487113847
"630",15.053862051149416,0.0005383880229186128,9,0.08365002487113851
"33",15.052657140824342,0.0005387124752866566,22,0.08997953313543632
"griotte",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"johannisrotkernmehl",14.924050632911335,0.0005744914654176668,2,-0.13707396638043107
"del",14.924050632911335,0.0005744914654176668,215,0.08365002487113851
"confiture",14.924050632911335,0.0005744914654176668,2,0.08365002487113839
"fruktose",14.924050632911335,0.0005744914654176668,2,0.0687651052515838
"gandhi",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"darmstadt",14.924050632911335,0.0005744914654176668,2,0.037893857681969095
"das",14.924050632911335,0.0005744914654176668,2,0.09197992548367934
"gebäck",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"cao",14.924050632911335,0.0005744914654176668,50,0.11469298099084599
"jaune",14.924050632911335,0.0005744914654176668,2,0.14510363994011874
"blanchierte",14.924050632911335,0.0005744914654176668,2,0.10964598392653525
"cardamome",14.924050632911335,0.0005744914654176668,2,0.5898687369346719
"griottes",14.924050632911335,0.0005744914654176668,2,0.1324111627249943
"gepelde",14.924050632911335,0.0005744914654176668,3,0.08365002487113851
"canelle",14.924050632911335,0.0005744914654176668,2,0.27927070003765286
"geolied",14.924050632911335,0.0005744914654176668,2,0.12905702566386246
"initiative",14.924050632911335,0.0005744914654176668,2,0.08459155676513831
"complètes",14.924050632911335,0.0005744914654176668,2,0.09874945327722863
"diesem",14.924050632911335,0.0005744914654176668,2,0.08911807582749455
"gesamtfettgehalt",14.924050632911335,0.0005744914654176668,2,0.15463750854318584
"entites",14.924050632911335,0.0005744914654176668,2,0.12038588061226396
"haselnusskerne",14.924050632911335,0.0005744914654176668,2,-0.07115186327706206
"gmbh",14.924050632911335,0.0005744914654176668,2,0.0697019883939977
"glukose",14.924050632911335,0.0005744914654176668,25,0.04455323490200792
"effilées",14.924050632911335,0.0005744914654176668,2,0.08365002487113848
"bulgaars",14.924050632911335,0.0005744914654176668,2,-0.08928608413054626
"com",14.924050632911335,0.0005744914654176668,42,0.11838771283868263
"bourbonvanileschote",14.924050632911335,0.0005744914654176668,2,-0.10147248773285229
"chaleur",14.924050632911335,0.0005744914654176668,2,0.0836500248711385
"grirofle",14.924050632911335,0.0005744914654176668,2,0.16932457527737924
"grillée",14.924050632911335,0.0005744914654176668,8,-0.0936907489621336
"faride",14.924050632911335,0.0005744914654176668,2,0.25884605390673787
"gélifiant",14.924050632911335,0.0005744914654176668,2,0.1594991083856974
"cerise",14.924050632911335,0.0005744914654176668,4,0.13241116272499423
"gâteaux",14.924050632911335,0.0005744914654176668,2,0.058974300024859386
"engrain",14.924050632911335,0.0005744914654176668,2,0.08365002487113846
"grüne",14.924050632911335,0.0005744914654176668,10,0.08365002487113851
"con",14.924050632911335,0.0005744914654176668,65,0.08365002487113846
"ядки",14.924050632911335,0.0005744914654176668,2,0.10248833128643227
"croustillants",14.924050632911335,0.0005744914654176668,2,-0.0560150355998059
"pruneaux",14.924050632911335,0.0005744914654176668,2,0.10675400790318605
"schùtzen",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"agricultu",14.924050632911335,0.0005744914654176668,70,0.04882395428258083
"éclats",14.924050632911335,0.0005744914654176668,2,0.10529553979771315
"kardamon",14.924050632911335,0.0005744914654176668,2,0.09696379711134978
"écorces",14.924050632911335,0.0005744914654176668,2,0.08961247313236637
"amidonnier",14.924050632911335,0.0005744914654176668,2,0.039834674592866895
"quellen",14.924050632911335,0.0005744914654176668,2,0.0739099585681912
"anatura",14.924050632911335,0.0005744914654176668,2,0.14874257899007806
"anciennes",14.924050632911335,0.0005744914654176668,2,0.09867947076735094
"www",14.924050632911335,0.0005744914654176668,2,0.04204429108443227
"produkt",14.924050632911335,0.0005744914654176668,3,0.10185306608076583
"pourpre",14.924050632911335,0.0005744914654176668,2,0.25317554373286755
"apfelfruchtfüllung",14.924050632911335,0.0005744914654176668,2,0.07746804405012325
"petits",14.924050632911335,0.0005744914654176668,2,0.08216240911730985
"pectine",14.924050632911335,0.0005744914654176668,2,0.10275151178527947
"вода",14.924050632911335,0.0005744914654176668,2,0.07911119371577471
"nückverfolgbaren",14.924050632911335,0.0005744914654176668,2,0.11838771283868256
"nit",14.924050632911335,0.0005744914654176668,29,0.0836500248711384
"schalen",14.924050632911335,0.0005744914654176668,17,0.0842339074850683
"abri",14.924050632911335,0.0005744914654176668,5,0.08365002487113847
"natriumbicarbonat",14.924050632911335,0.0005744914654176668,2,0.11301041138760609
"sirup",14.924050632911335,0.0005744914654176668,75,0.10947656272334785
"wàrme",14.924050632911335,0.0005744914654176668,2,0.05475828347439607
"walnusskerne",14.924050632911335,0.0005744914654176668,2,-0.09861430132086652
"vor",14.924050632911335,0.0005744914654176668,2,0.22733608718529222
"64295",14.924050632911335,0.0005744914654176668,2,0.2562920892735034
"verdickungsmittl",14.924050632911335,0.0005744914654176668,2,0.10674133679205013
"ver",14.924050632911335,0.0005744914654176668,299,0.08365002487113847
"400",14.924050632911335,0.0005744914654176668,2,0.13751044315156277
"uonou",14.924050632911335,0.0005744914654176668,2,0.04204429108443226
"zuckerrübenstrup",14.924050632911335,0.0005744914654176668,2,0.16372388474955613
