"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"agents",13.51824817518246,0.0011602450019458678,4,0.012989443728071943
"fromage",13.51824817518246,0.0011602450019458678,2,0.08242901626335945
"acidifiants",13.51824817518246,0.0011602450019458678,4,0.10087036902379648
"kartoffelflocken",13.51824817518246,0.0011602450019458678,6,0.20960036806571578
"oblaten",13.51824817518246,0.0011602450019458678,9,0.012989443728071943
"weinbeeren",13.51824817518246,0.0011602450019458678,3,0.06806661739185006
"backmittel",13.51824817518246,0.0011602450019458678,6,0.012989443728071943
"olive",13.51824817518246,0.0011602450019458678,23,0.14765071412663391
"morceaux",13.51824817518246,0.0011602450019458678,2,0.18714303016709813
"dur",13.51824817518246,0.0011602450019458678,8,0.24214786371225294
"basilic",13.51824817518246,0.0011602450019458678,6,0.167673840137286
"dinkelflocken",13.51824817518246,0.0011602450019458678,6,0.18989681970867286
"en",13.505202521364192,0.0011678378156494142,1179,0.11136121460381602
"poudre",13.479277081317711,0.001183074712745033,46,0.022532157864198012
"entier",13.336475553228535,0.0012706359235686517,22,0.012989443728071936
"pektin",13.282051282051617,0.0013056873902950936,37,0.012989443728071936
"gepufft",13.170836192733907,0.001380350127564483,18,0.024929539428243462
"geliermittel",13.09584711044603,0.0014330882395670974,30,0.015914716272707623
"ceylan",12.886349682788673,0.0015913463796773746,6,-0.10761109904159619
"grillées",12.886349682788673,0.0015913463796773746,8,-0.11870851952619105
"schokolade",12.886349682788673,0.0015913463796773746,47,-0.18165182890402745
"38",12.767385544774788,0.0016888747969917598,8,0.06993697374985021
"extra",12.712939624552433,0.0017354824895636153,105,0.17233383452379988
"68",12.712939624552433,0.0017354824895636153,9,0.08383278891093254
"issus",12.659320699159565,0.0017826391404215014,22,0.2105605516012041
"schwarzer",12.64957264957297,0.001791348976525324,20,-0.002080174704782957
"34",12.618948567785385,0.0018189892598434512,11,0.12459941251532021
